,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
210,203098,2013-14,0.643,0.333,0.095,0.75,0.071,0.667,0.167,0.286
211,201943,2013-14,0.22,0.386,0.098,0.369,0.089,0.356,0.272,0.341
212,201973,2013-14,0.697,0.503,0.144,0.433,0.125,0.308,0.034,0.571
213,101161,2013-14,0.766,0.58,0.163,0.551,0.04,0.417,0.032,0.263
214,203187,2013-14,0.785,0.405,0.112,0.375,0.051,0.273,0.051,0.455
215,201949,2013-14,0.49,0.433,0.131,0.575,0.173,0.472,0.173,0.472
216,2207,2013-14,0.408,0.434,0.082,0.427,0.099,0.434,0.254,0.512
217,203111,2013-14,0.541,0.305,0.128,0.429,0.064,0.0,0.229,0.32
218,202325,2013-14,0.75,0.444,0.147,0.326,0.057,0.459,0.043,0.357
219,2592,2013-14,0.866,0.466,0.09,0.333,0.03,0.5,0.015,1.0
220,203093,2013-14,0.551,0.602,0.219,0.506,0.104,0.432,0.108,0.429
221,203103,2013-14,0.656,0.508,0.161,0.31,0.089,0.375,0.094,0.471
222,201599,2013-14,0.877,0.687,0.099,0.608,0.019,0.5,0.004,0.5
223,202709,2013-14,0.333,0.489,0.152,0.35,0.11,0.414,0.258,0.574
224,2549,2013-14,0.612,0.524,0.195,0.463,0.108,0.514,0.085,0.517
225,202683,2013-14,0.684,0.516,0.158,0.437,0.079,0.448,0.073,0.452
226,203508,2013-14,0.743,0.346,0.057,0.5,0.114,0.5,0.057,0.0
227,203527,2013-14,0.616,0.412,0.157,0.483,0.116,0.442,0.103,0.395
228,203077,2013-14,0.512,0.455,0.233,0.45,0.137,0.489,0.105,0.5
229,1905,2013-14,0.628,0.52,0.186,0.552,0.109,0.235,0.077,0.667
230,202688,2013-14,0.273,0.448,0.113,0.39,0.122,0.323,0.235,0.434
231,2594,2013-14,0.739,0.51,0.167,0.434,0.072,0.279,0.022,0.462
232,201585,2013-14,0.749,0.515,0.176,0.457,0.05,0.304,0.024,0.545
233,203136,2013-14,0.538,0.571,0.308,0.25,0.077,0.0,0.077,0.0
234,203117,2013-14,0.606,0.361,0.194,0.484,0.081,0.385,0.106,0.412
235,203087,2013-14,0.535,0.431,0.155,0.479,0.086,0.423,0.138,0.417
236,201171,2013-14,0.733,0.591,0.15,0.222,0.067,0.25,0.05,0.667
237,203499,2013-14,0.307,0.381,0.139,0.474,0.102,0.429,0.212,0.241
238,201951,2013-14,0.208,0.431,0.072,0.448,0.102,0.427,0.286,0.417
239,203495,2013-14,0.353,0.5,0.118,0.0,0.118,0.0,0.353,0.5
240,201584,2013-14,0.482,0.424,0.188,0.565,0.127,0.526,0.172,0.533
241,101135,2013-14,0.519,0.559,0.223,0.5,0.143,0.489,0.111,0.477
242,203458,2013-14,0.747,0.458,0.165,0.385,0.063,0.2,0.025,0.5
